,part_number,description,quantity,price,roi
4679,46637686746,badge,3,46.99,-100.0
4680,46637687667,cover strip black,1,17.99,-100.0
4681,46637688792,grommet,1,8.99,-100.0
4682,46637689554,covering primed center,1,13.99,-100.0
4683,46637691016,snap-lock coupling,1,5.99,-21.73
4684,46637691017,pin,2,4.99,-100.0
4685,46637693990,"linkage rod, short",1,28.99,-100.0
4686,46637694709,"windshield bracket, left",1,33.99,-100.0
4687,46637696418,"retaining bracket, right",1,23.99,-100.0
4688,46637696825,bracket for side trim panel,1,41.99,-100.0
4689,46637698240,"tank trim panel, right",1,530.99,-100.0
4690,46637699356,threaded bush,1,24.99,22.04
4691,46637700886,"side cover, right",1,81.99,-100.0
4692,46637701206,plastic washer,8,2.99,-100.0
4693,46637702715,lateral trim panel left,1,170.99,-100.0
4694,46637703974,lettering right,1,135.99,-100.0
4695,46637707931,pt screw,10,5.99,-100.0
4696,46637708777,collar screw,9,9.99,-100.0
4697,46637714241,plastic washer,38,0.99,-86.02
4698,46637716023,set of covers,1,33.99,-100.0
4699,46637717038,windshield,1,365.99,-100.0
4700,46637717040,front panel carrier,1,305.99,-100.0
4701,46637717042,front panel,1,260.99,-100.0
4702,46637717154,"bracket, hand protector righ",1,63.99,-100.0
4703,46637717170,"side section, front right",1,385.99,-100.0
4704,46637720325,"set, stickers, hand guard",1,3.99,-100.0
4705,46637721009,"cover, intake snorkel, left",1,115.99,-100.0
4706,46637721600,cover airbox,1,425.99,-100.0
4707,46637722507,instrument cover,1,150.99,-100.0
4708,46637723669,"left decor, multicolor paint",1,185.99,-100.0
4709,46637723670,"right decor, multicolor pain",1,170.99,-100.0
4710,46637724079,"cover, navigation computer",2,20.99,-100.0
4711,46637724119,lettering left,1,190.99,-100.0
4712,46637724481,"flange sleeve, steel",14,6.99,-41.27
4713,46637727242,slipstream deflector,1,70.99,-100.0
4714,46637727398,hand protector right,1,150.99,-67.55
4715,46637727400,"trim upper section, right",1,210.99,-100.0
4716,46637727419,"lateral trim panel, left",1,340.99,-100.0
4717,46637930936,body screw with shoulder,7,7.99,-100.0
4718,46638358252,grommet,9,5.99,-100.0
4719,46638380725,grommet,4,2.5,-100.0
4720,46638387996,license plate holder,1,67.99,-100.0
4721,46638388670,badge holder blank right,1,38.99,-100.0
4722,46638389433,left engine protection bar,6,361.99,-92.09
4723,46638389434,right engine protection bar,8,361.99,-100.0
4724,46638393610,front panel carrier,1,132.6,-100.0
4725,46638403839,wind shield bracket,1,76.99,-100.0
4726,46638403844,spoiler front,1,40.99,-100.0
4727,46638521396,mounting clip,11,3.99,-41.56
4728,46638521563,"side section, primered, rear",0,260.99,0.0
4729,46638521653,body screw with shoulder,10,5.99,-78.95
4730,46638521655,body screw with shoulder,6,7.99,-100.0
4731,46638521657,collar screw,5,7.99,-100.0
4732,46638521659,plastic washer,25,0.99,-100.0
4733,46638521662,"tank cover, center",0,890.99,0.0
4734,46638522484,collar bush,5,7.99,-100.0
4735,46638523431,hand protector left,1,81.99,-20.55
4736,46638523432,hand protector right,2,81.99,-40.41
4737,46638523435,bush,1,22.99,-100.0
4738,46638524931,"windshield bracket, left",1,55.99,-59.88
4739,46638526273,washer,6,17.99,-100.0
4740,46638526812,"fairing side panel, front ri",1,160.99,-67.61
4741,46638527151,grommet,6,3.99,-86.98
4742,46638527411,rubber insulation element,2,7.99,-100.0
4743,46638527780,body screw without shoulder,27,4.99,-80.99
4744,46638527781,body screw without shoulder,7,5.99,-100.0
4745,46638528613,left internal cover,1,46.99,-100.0
4746,46638531527,body screw with shoulder,1,8.99,-100.0
4747,46638532168,grommet,3,3.99,-73.96
4748,46638532314,"c-clip nut, self-locking",17,4.99,-16.25
4749,46638533674,bearing for windshield adjus,4,24.99,-100.0
4750,46638533681,"tank pad, black",4,72.99,-60.17
4751,46638534532,rubber grommet,8,3.99,-100.0
4752,46638534861,trim for steering wheel,1,56.99,-58.66
4753,46638534876,"linkage for central locking,",1,48.99,-100.0
4754,46638534938,body screw without shoulder,16,5.99,-69.3
4755,46638534941,body screw without shoulder,6,11.99,-100.0
4756,46638534943,body screw without shoulder,24,6.99,-100.0
4757,46638534975,"fairing side panel, front le",1,355.99,-100.0
4758,46638535096,thread insert m5,7,12.99,-100.0
4759,46638535808,front right body part,1,660.99,-100.0
4760,46638536083,wheel with gear unit and sha,0,335.99,0.0
4761,46638536937,1200gsa exhaust panel,1,0.99,0.0
4762,46638536939,"cover, intake snorkel, left",1,205.99,-100.0
4763,46638544949,"seal flap, left",1,125.99,-100.0
4764,46638544950,"seal flap, right",1,125.99,-100.0
4765,46638544958,"storage bin lower section, r",1,255.99,-100.0
4766,46638546367,"cover, navigation computer",3,20.99,-100.0
4767,46638546386,bmw emblem,1,93.99,-20.77
4768,46638549119,grill set for fuel tank cove,1,57.99,-100.0
4769,46638549674,"heat shield, engine spoiler,",2,21.99,-100.0
4770,46638549852,"foam insert, right",1,13.99,-100.0
4771,46638555101,rubber grommet,6,4.99,-26.74
4772,46638556043,"side cover, left",1,295.99,-100.0
4773,46638556647,protective grille for radiat,1,39.99,-100.0
4774,46638556648,protective grille for radiat,1,39.99,-100.0
4775,46638557481,base plate wind deflector le,1,47.99,-100.0
4776,46638557871,grommet,29,3.99,-79.44
4777,46638558347,spacer sleeve,1,57.99,-100.0
4778,46638560237,tank pad,2,115.99,-100.0
4779,46638560330,"grill cover, right",1,140.99,-100.0
4780,46638561351,"front panel carrier, center",1,475.99,-100.0
4781,46638561352,securing clip,2,12.99,-40.81
4782,46638564649,windscreen holder long,1,63.99,-100.0
4783,46638564652,windscreen holder short,1,63.99,-100.0
4784,46638566811,covering left,1,30.99,-100.0
4785,46638566812,covering right,1,30.99,-100.0
4786,46638569031,"wind deflector, left",1,210.99,-100.0
4787,46638569707,luggage rack topcase aluminu,3,216.99,-100.0
4788,46638569708,crossover,3,115.99,-100.0
4789,46638569709,left case holder,3,302.99,-100.0
4790,46638569710,case holder right,2,302.99,-100.0
4791,46639443604,r18 medium screen,2,399.0,-100.0
4792,46639446384,bracket for windshield,1,476.99,-100.0
4793,46639467643,cover for oddments,0,380.99,0.0
4794,46639480728,bracket for windshield,1,476.99,-100.0
4795,46639480889,"front panel carrier, left",0,475.99,0.0
4796,46639480890,"front panel carrier,right",0,475.99,0.0
4797,46664,lever pin,1,17.99,-100.0
4798,46711234661,footrest,2,205.99,-100.0
4799,46711237759,clamp,1,38.99,-100.0
4800,46711242018,"footrest, right",1,89.99,-100.0
4801,46711451643,retainer spring left,1,20.99,-100.0
4802,46711451776,spacer sleeve,1,3.99,-100.0
4803,46711454536,"footrest, rear right",1,79.99,-100.0
4804,46711457390,supporting bracket,2,20.99,-100.0
4805,46711457476,supporting bracket black,2,14.99,-100.0
4806,46712303070,rubber mounting,1,36.99,-100.0
4807,46712310401,footrest rubber,1,71.99,-100.0
4808,46712310404,"footrest, rear right",1,89.99,-100.0
4809,46712311547,shim,12,6.99,-100.0
4810,46712312160,shim,12,6.99,-100.0
4811,46712314728,right insert,1,7.99,-100.0
4812,46712315671,spacer bush,1,8.99,-100.0
4813,46712330763,"footrest, left",0,150.99,0.0
4814,46712330765,stopper,3,14.99,-50.55
4815,46712331764,pin,1,21.99,-100.0
4816,46712332735,footrest rubber,2,36.99,-100.0
4817,46712333391,bracket,2,17.99,-100.0
4818,46712335185,bracket,2,43.99,-100.0
4819,46712335494,pin,1,10.99,-100.0
4820,46717657174,bush,1,11.25,-100.0
4821,46717660165,bushing,1,40.99,-100.0
4822,46717682373,"footrest plate, left",1,500.99,-100.0
4823,46717686039,footrest rubber pad with ret,1,46.99,-100.0
4824,46717688644,stopper,1,14.99,-100.0
4825,46717711222,tension spring brake pedal,1,17.99,-34.65
4826,46717716030,spacer rings set,2,54.99,-100.0
4827,46717717831,pin,1,22.99,-100.0
4828,46717726491,trapezoidal screw,4,4.99,-57.25
4829,46717728427,"footrest, left",1,150.99,-100.0
4830,46717728429,"footrest, rear left",1,150.99,-100.0
4831,46717728866,"footrest, magnesium matt, fr",1,165.99,-100.0
4832,46717728904,"foot peg, right, with foot p",2,165.99,-100.0
4833,46718392689,compression spring,1,3.99,-100.0
4834,46718393027,"footrest plate, left",0,480.99,0.0
4835,46718520415,retainer spring left,0,8.99,0.0
4836,46718526107,retainer spring,15,5.99,-100.0
4837,46718528781,spacer tube,1,12.99,-100.0
4838,46718528782,retainer spring,1,8.99,-100.0
4839,46718528792,"footrest, rear right",1,165.99,-100.0
4840,46718528795,"footrest, rear left",1,165.99,-100.0
4841,46718530633,footrest rubber,5,36.99,-100.0
4842,46718555162,footpeg plate right,1,165.99,-100.0
4843,46719829530,"footrest hinge, right",2,255.99,-100.0
4844,46719829532,"footrest, right",2,174.99,-100.0
4845,46719829535,"footrest hinge, left",2,255.99,-100.0
4846,46719829537,"footrest, left",2,174.99,-100.0
4847,46719909301,fillister-head screw,0,11.99,0.0
4848,469577,"stand,zero-g,lite,rr,oxford",2,249.99,-100.0
4849,469584,"paddock,stand,rr,oxford",6,159.99,-100.0
4850,4697,ff704c fuel filter,10,4.89,-100.0
4851,47229,year round liquid coolant 1.89,2,38.99,-73.07
4852,48-0902,"carb, pilot jet, 17.5",4,8.99,0.0
4853,48-1414,gs750 carb rebuild kit,1,14.99,-100.0
4854,48-1448,float needle,2,7.5,-100.0
4855,48-1908,carb kit-cb750 k1-k5,1,25.99,-100.0
4856,48016971a,cover handsfree,1,21.99,-100.0
4857,4801a301ba,cap lh,1,201.99,-100.0
4858,4801a861ab,right upper fairing red,0,983.99,0.0
4859,48054-cr-xxxl,"cardinal,ind,legendary-xxxl",2,29.99,-100.0
4860,481010,kreem fuel tank liner 16oz,1,44.99,-100.0
4861,481110,kreem tank prep pack 2/pcs,1,41.99,-100.0
4862,482p2471ab,cover frame rh red,0,147.99,0.0
4863,482z0011b,"side cover, left",1,404.99,-100.0
4864,48420122,carburetor repair kit phva,1,40.99,-100.0
4865,48420741a,air intake left,2,70.99,-100.0
4866,48443-hg-l,"hthr/grey,ladies,outine,headdress-lg",1,29.99,-100.0
4867,48443-hg-s,"hthr/grey,ladies,outine,headdress-sm",1,29.99,-100.0
4868,48443-l,"black,ladies,outine,headdress-lg",1,29.99,-100.0
4869,48443-s,"black,ladies,outine,headdress-sm",1,29.99,-100.0
4870,48610851a,"damper, sound arrester",1,28.99,-100.0
4871,48612731a,"damper, sound arrester",6,1.99,-100.0
4872,48710652ab,windshield assy,1,557.99,-100.0
4873,48804,protect-all protector spray,4,19.99,-59.58
4874,49-0002,"rubber washer, 8x18",5,1.0,-100.0
4875,49210061a,rear brake disc,1,274.99,-5.74
4876,493237,cl-17 3xl liner,1,34.99,-100.0
4877,493238,cl-17 4xl liner,1,34.99,-100.0
4878,49411221b,rear sprocket,1,317.99,-100.0
4879,49411761ab,rear sprocket t43,1,229.99,-100.0
4880,49720012a,"valve, tubeless tire",4,26.99,-100.0
4881,49720031a,"valve, tubeless tire",3,12.99,-100.0
4882,49720071a,"valve, tubeless tire",1,27.99,-100.0
4883,49720071ac,"valve, tubeless tire",5,23.99,-82.6
4884,499-000-2515,e1 irridium xl-xxxl,1,140.99,-100.0
4885,4990001804,visor mech,2,24.99,-100.0
4886,4990001811,c3 pinlock,2,48.79,-100.0
4887,4990002110,c3 cheek pad 58/59,1,59.0,-100.0
4888,4990002501,e1 visor 53-59,1,99.99,-100.0
4889,4990002503,e1 visor 60-65,1,102.7,-45.24
4890,4990002974,c3 pro cheek pad 58/59,1,109.99,-100.0
4891,4990003300,c3 80% tint 50-59,3,115.7,-100.0
4892,4990003305,c3 80% tint lrg,2,116.63,-100.0
4893,4990003467,c4 cheek pad 61,1,116.16,-100.0
4894,4990003475,c4 head pad 61,1,79.2,-100.0
4895,4990003564,sr1 blue visor,1,133.4,-100.0
4896,4990004550,r2 visor clear lg-xxxl,4,102.7,-100.0
4897,4990004551,r2 pinlock,2,45.5,-100.0
4898,4990004701,c4 clear 57-65,1,94.89,-14.01
4899,4990004703,c4 pinlock 57-65,1,45.5,-100.0
4900,4990004709,c4 large irridium,2,138.68,-100.0
4901,4990004710,sv5 silver visor,1,99.99,-100.0
4902,4990004719,c4/c4 pro pinlock 120 lg,2,54.99,-68.17
4903,4990004720,c3 pinlock s-l,4,49.99,-100.0
4904,4990004721,c3 pinlock xl-xxxl,2,49.99,-75.61
4905,4990005103,m1 silver visor,1,130.49,-100.0
4906,4990005108,high definition yellow,1,68.99,0.0
4907,4990010061,20mm cheek pads,1,75.0,-100.0
4908,4990010069,custom fit c5/e2,1,55.99,-100.0
4909,4990010070,custom head fit long head,1,55.99,-100.0
4910,4990010071,c5 head pad xl round head,1,59.99,4.05
4911,4990010072,c5 head liner long 61,2,55.99,-100.0
4912,4990010085,c5 cheek pads thinner,2,78.49,-100.0
4913,4990010086,c5 cheek pads thicker,2,78.49,-100.0
4914,4990010200,external visor c5 med,3,94.89,-100.0
4915,4990010201,external visor c5 clear,3,94.89,-100.0
4916,4990010202,external visor c5 mirror,1,94.89,-100.0
4917,4990010204,c5 dark smoked external visor,2,117.35,-71.52
4918,4990010210,c5 antifog lens pinlock small,4,49.99,-100.0
4919,4990010211,c5 pinlock 120 lg,4,49.99,-100.0
4920,501-122,license plate fastener kit,1,3.99,-100.0
4921,501-162,m10x18 drain plug washer (10),20,5.99,-100.0
4922,501-163,m12 drain plug washer (10),29,5.99,-100.0
4923,501-164,m14 drain plug washer (10),23,5.99,-100.0
4924,501-168,nylon license plate bolts/nuts,1,6.99,-100.0
4925,501-170,drain plug washer assortment,1,87.99,-100.0
4926,501-170a,drain plug washer-crush,549,1.99,-87.46
4927,501-514s,m8x1.25x25 10mm hex low pro fl,16,1.99,-100.0
4928,501-515s,m8x1.25x30 10mm hex low pro fl,46,1.99,-100.0
4929,501-516s,m8x1.25x35 10mm hex low pro fl,16,1.99,-100.0
4930,50137,fast black,1,29.99,-100.0
4931,501783,"tube 19 mfr tr-4 offroad 19"" m",3,49.99,-100.0
4932,501880,tube 16 mi 2171 (pv-78) street,3,49.99,-57.31
4933,502737,"rimstrip, 14/15""",11,1.99,-100.0
4934,502872,tube tr-6 3.75/4.25-17,8,18.99,-100.0
4935,503543,420 clip link f/ rk standard,10,1.99,-100.0
4936,503545,520 clip link f/ rk standard,4,2.99,-100.0
4937,503564,520xso rivet f/ perf. rx-ring,5,10.99,-100.0
4938,503596,525xso clip link f/ perf. rx-ring,4,12.99,-100.0
4939,503692,gb520xso clip lnk f/ gold perf.,5,10.99,-100.0
4940,503693,gb520xso rivet f/ gold perf. rx-,8,10.99,-100.0
4941,50403085,ntrl switch washer,6,0.99,-100.0
4942,508034,110/80b19 59q tkc80 front cont,1,349.99,-100.0
4943,50822-55-m,"black,ind,headdress-md",1,29.99,-100.0
4944,508369,"tube 17mi valve tr4 street 17""",7,52.99,-81.91
4945,50854-m,"sportgrey,ind,script,sold-md",1,29.99,-100.0
4946,50854-s,"sportgrey,ind,script,sold-sm",1,29.99,-2.96
4947,50854ls-s,"black,ind,script,solid,ls-sm",1,34.99,-100.0
4948,50903-ch-m,"charcoal,ind,painted,rcr,solid-md",1,29.99,-100.0
4949,50903-ch-s,"charcoal,ind,painted,rcr,solid-sm",1,29.99,-100.0
4950,50903-ch-xxxl,"charcoal,ind,painted,rcr,solid-xxxl",1,29.99,-100.0
4951,50903-s,"sportgrey,ind,painted,rcr,solid,sm",2,29.99,-100.0
4952,50903-xxxl,"sportgrey,ind,painted,rcr,solid,xxxl",1,29.99,-100.0
4953,51-1028,chrome license plate screw,2,20.99,-100.0
4954,51-g9920332p,10 mm x 1.25 single banjo bolt,1,6.99,-100.0
4955,51-r49007-s,12mm washer,12,1.49,-100.0
4956,5101h371a,fog light,2,43.99,-100.0
4957,51025101a,kit protection can filter cabl,1,34.99,-100.0
4958,51029281a,electric wiring harness,2,8.99,-100.0
4959,510804/a,ex.pip gasket,4,8.99,-100.0
4960,51111908077,expanding rivet,10,0.99,-100.0
4961,51117707528,fillister head screw with co,26,2.99,-79.02
4962,51137057671,torx-bolt for plastic materi,5,1.99,-100.0
4963,51141542007,"logotype, front-wheel cover,",0,180.99,0.0
4964,51142308800,badge,2,23.99,-100.0
4965,51142328447,badge,4,23.99,-100.0
4966,51145590033,csk.fillister head srew,4,5.99,-100.0
4967,51147659495,"tank sticker, left",1,145.99,-100.0
4968,51147659496,"tank sticker, right",1,145.99,-100.0
4969,51147677409,"instruction notice, payload",4,29.99,-100.0
4970,51147685457,"sticker, fuel tank, top",1,98.99,-100.0
4971,51148209932,grommet,40,1.99,-100.0
4972,51148358229,decor tank cover left,1,29.99,-100.0
4973,51148388733,lettering left,1,110.99,-100.0
4974,51148388734,lettering right,1,110.99,-100.0
4975,51148406669,"decor, rear side section, le",1,135.99,-100.0
4976,51148525067,"emblem f800r, left",1,130.99,-100.0
4977,51148534884,lettering right,1,180.99,-100.0
4978,51148545114,label,1,56.99,-100.0
4979,51148551845,lettering left,1,115.99,-100.0
4980,51148551846,lettering right,1,115.99,-100.0
4981,51148551849,"decor, lower left",1,115.99,-100.0
4982,51148556868,"model emblem for s1000r, rig",1,135.99,-100.0
4983,51148561448,"decor fairing side panel, fr",1,240.99,-100.0
4984,51148565943,"decor rear trim panel, left",1,150.99,-100.0
4985,51161230421,hex nut,1,9.99,-100.0
4986,51161459067,bump stop,1,4.99,-100.0
4987,51161459068,bump stop,2,6.99,-100.0
4988,51161459069,pin,1,5.99,-15.12
4989,51161828956,pin,9,3.99,-100.0
4990,51161881149,expanding rivet,92,0.99,-100.0
4991,51162308645,fillister-head screw,3,4.99,-100.0
4992,51162328699,seal seft,1,10.99,-100.0
4993,51162328700,seal right,1,6.99,-100.0
4994,51162347199,cup,2,110.99,-100.0
4995,51162347237,mirror glass,2,135.99,-100.0
4996,51162347238,mirror glass,1,135.99,-100.0
4997,51167655592,locking pin,10,12.99,-100.0
4998,51167655593,spring,1,13.99,-100.0
4999,51167673982,clamping,2,52.99,-100.0
5000,51167679903,left rear view mirror,1,560.99,-100.0
5001,51167681592,rubber grommet,7,14.99,-100.0
5002,51167698437,cover,2,6.99,-100.0
5003,51167698694,adapter,2,20.99,-100.0
5004,51167710463,mirror left,0,325.99,0.0
5005,51167712834,clamping,3,45.99,-100.0
5006,51167713993,mirror,1,58.99,-100.0
5007,51167715865,clamping,2,50.99,-100.0
5008,51167718357,holding strap,2,8.99,-100.0
5009,51167728819,mirror left,1,375.99,-100.0
5010,51168197908,expanding rivet,11,0.99,-87.15
5011,51168388740,mirror right,1,59.99,-100.0
5012,51168406497,mirror left,1,475.99,-100.0
5013,51168528632,mirror right,1,215.99,-100.0
5014,51168532143,mirror left,1,135.99,-100.0
5015,51168547454,mirror right,2,175.49,-100.0
5016,51168557885,left rear view mirror,2,515.99,-100.0
5017,51168557886,right rear view mirror,1,530.99,-100.0
5018,51168567447,mirror left,1,155.99,-60.22
5019,51168567448,mirror right,1,155.99,-60.22
5020,51169151916,fillister head screw,74,1.99,-100.0
5021,51181835719,fillister head self-tapping,18,1.99,-100.0
5022,51181852299,plug-in nut,2,0.99,-17.97
5023,51181966959,plug-in nut,4,3.99,-100.0
5024,51185480150,cap nut,1,0.99,-100.0
5025,51211859979,hollow washer,8,3.99,-100.0
5026,51217061955,oval-head screw with anti-ro,8,4.99,-100.0
5027,51247217793,torx bolt,10,1.99,-100.0
5028,51251233554,key (blank),1,32.99,-100.0
5029,51251453148,gasket,1,14.99,-100.0
5030,51252308118,catch,1,32.99,-100.0
5031,51252308121,spring,1,10.99,-100.0
5032,51252313185,o-ring,1,6.99,-100.0
5033,51252313229,key (blank),4,45.99,-100.0
5034,51252313287,steering lock (with key code,2,59.99,-100.0
5035,51252337268,rep.kit f lock cylinder stee,1,33.99,-100.0
5036,51252337269,rep.kit f lock cylinder,1,37.99,-100.0
5037,51252346499,standard key (blank),2,45.99,-100.0
5038,51257660860,set of suitcase locks,2,76.99,-100.0
5039,51257660863,set of locks top case,2,61.99,-100.0
5040,51257666667,screw,8,7.99,-100.0
5041,51257681201,emergency code,1,99.99,-100.0
5042,51257688566,set of suitcase locks,7,65.99,-100.0
5043,51257688568,lock cylinder with key,5,49.99,-100.0
5044,51257688841,lock cylinder set for case,1,61.99,-100.0
5045,51257688957,lock cylinder with key,8,49.99,-100.0
5046,51257696170,set of locks case/top case,9,170.99,-100.0
5047,51257698202,rep.kit f lock cylinder,13,40.99,-51.45
5048,51257698204,rep.kit f lock cylinder,54,37.99,-95.86
5049,51257705033,securing bolt,4,9.99,-100.0
5050,51258393958,rep.kit f lock cylinder,8,58.99,-100.0
5051,51258406057,repair kit key bit,1,32.99,-42.27
5052,51258540950,vehicle key (code),1,140.99,-74.12
5053,51258558127,securing bolt,2,8.99,-100.0
5054,51258561426,fracture bolt,10,6.99,-100.0
5055,51258561555,fracture bolt,2,4.99,-100.0
5056,5134083,sleeve-turnsignal mount,4,3.99,-50.25
5057,51365hb-m,"hthr/blue,vintage,indian,ladies-md",1,29.99,-100.0
5058,51365hc-l,"hthr/char,vintage,indian,ladies-lg",2,29.99,-100.0
5059,51365hc-m,"hthr/char,vintage,indian,ladies-md",1,29.99,-100.0
5060,51365hc-s,"hthr/char,vintage,indian,ladies-sm",1,29.99,-100.0
5061,51365hc-xl,"hthr/char,vintage,indian,ladies-xl",1,29.99,-100.0
5062,5136808,cap-comp,2,128.99,-100.0
5063,5136821,piston,4,25.99,-0.08
5064,5136822,slide-metal,4,39.99,-0.05
5065,5137268,cap,2,47.99,-100.0
5066,5138467-626,"windshield support, jet black",1,159.99,-100.0
5067,5138477-440,valve tappet 4.4mm gls blk w/ m,4,59.99,-100.0
5068,5138477-442,"valve tappet, graded, 4.425",4,59.99,-100.0
5069,5138477-445,"graded valve tappet, 4.450",4,59.99,-100.0
5070,5138477-448,"graded valve tappet, 4.475",4,59.99,-100.0
5071,5138477-450,"valve tappet, graded, 4.5",4,59.99,-100.0
5072,5138477-452,"graded valve tappet, 4.525",4,59.99,-100.0
5073,5138477-455,valve tappet 4.55mm,4,59.99,-100.0
5074,5138477-458,"valve tappet, graded, 4.575",4,59.99,-100.0
5075,5138477-460,"valve tappet, graded 4.600",4,59.99,-100.0
5076,5138477-462,tappet-valve graded 4.625,4,59.99,-100.0
5077,5138477-465,"valve tappet, graded 4.650",4,59.99,-100.0
5078,5138477-468,"valve tappet, graded 4.675",4,59.99,-100.0
5079,5138477-470,"valve tappet, graded 4.70, colo",4,59.99,-100.0
5080,5138477-472,"valve tappet, graded 4.725",4,59.99,-100.0
5081,5138477-475,"valve tappet, graded 4.750, col",4,59.99,-100.0
5082,5138477-478,"valve tappet, graded 4.775",4,59.99,-100.0
5083,5138477-480,"valve tappet, graded 4.800",4,59.99,-100.0
5084,5138477-482,"valve tappet, graded 4.825",4,59.99,-100.0
5085,5138477-485,"valve tappet, graded 4.850",4,59.99,-100.0
5086,5138477-488,"valve tappet, graded 4.875",4,59.99,-100.0
5087,5138477-490,"valve tappet, graded 4.900",4,59.99,-100.0
5088,5138477-492,"valve tappet 4.925mm, delta gre",4,59.99,-100.0
5089,5138477-495,"valve tappet, graded 4.950",4,59.99,-75.01
5090,5138477-498,"valve tappet 4.975mm, sb grn mt",4,59.99,-50.02
5091,5138477-500,valve tappet,4,59.99,-100.0
5092,5138477-502,"graded valve tappet, 5.025",4,59.99,-100.0
5093,5138477-505,"valve tappet, graded",3,59.99,-33.36
5094,5138477-508,"graded valve tappet, 5.075",4,59.99,-100.0
5095,5138477-510,"graded valve tappet, 5.100",4,59.99,-100.0
5096,5138477-512,"graded valve tappet, 5.125",4,59.99,-100.0
5097,5138477-515,"graded valve tappet, 5.150",4,59.99,-100.0
5098,5138477-518,"valve tappet, graded 5.175",4,59.99,-100.0
5099,5138477-520,"graded valve tappet, 5.200",4,59.99,-100.0
5100,5138477-522,"valve tappet, graded, 5.225",5,59.99,-100.0
5101,5138477-525,"valve tappet, graded, 5.250",4,59.99,-100.0
5102,5138477-528,"valve tappet, graded, 5.275",4,59.99,-100.0
5103,5138477-530,"graded valve tappet, 5.300",4,59.99,-100.0
5104,5138477-532,"valve tappet, graded, 5.325",4,59.99,-100.0
5105,5138477-535,"graded valve tappet, 5.350",4,59.99,-100.0
5106,5138477-538,"valve tappet, graded, 5.375",4,59.99,-100.0
5107,5138477-540,"graded valve tappet, 5.400",4,59.99,-100.0
5108,5138477-542,"graded valve tappet, 5.425",4,59.99,-75.01
5109,5138477-545,"graded valve tappet, 5.450",4,59.99,-100.0
5110,5139112,"sleeve-mount,headlight",1,16.99,-100.0
5111,5139334,drive sprocket spacer,1,44.99,-100.0
5112,5139695,"mount-seat,ind",11,34.99,-90.91
5113,5140611,dart-seat retention,1,39.99,-33.31
5114,5140871,"flanged bushing, 18 x 10 x 6",10,14.99,-100.0
5115,5141025,"peg-feeler,floorboard",3,31.99,-100.0
5116,5141804,semi-float rotor bushing,1,3.99,-100.0
5117,51418144600,circlip,65,4.99,-100.0
5118,51420-s,"sportgrey,bagger,racing,king-sm",2,29.99,-100.0
5119,51420-xl,"sportgrey,bagger,racing,king-xl",1,29.99,-100.0
5120,51420-xxxl,"sportgrey,bagger,racing,king-xxxl",1,29.99,-100.0
5121,51421b-s,"black,im,block,logo-sm",1,29.99,-100.0
5122,51421w-s,"white,im,block,logo-sm",1,29.99,-100.0
5123,51421w-xxxl,"white,im,block,logo-xxxl",1,29.99,-100.0
5124,51422-l,"black,ladies,indian,script-lg",0,29.99,0.0
5125,51422-xxl,"black,ladies,indian,script-xxl",1,29.99,-100.0
5126,5142883,"bshg-flg,7.0x9.0x5.3",2,8.99,-100.0
5127,5143344-458,"mount-footpeg,drv,rh,blk",1,149.99,-100.0
5128,5143494-266,"housing-rear lighting,blk",1,147.99,-100.0
5129,51451801524,washer,7,0.99,-100.0
5130,51452353024,set felt strip self-adhesive,1,65.99,-100.0
5131,51467002606,expanding rivet,8,1.99,-100.0
5132,51467019965,edge protection,1,4.99,-100.0
5133,51467027257,hex nut,4,1.99,-100.0
5134,51472315059,screw,1,16.99,-100.0
5135,514753,helm atlas sl bedrock gy m ckx,1,519.99,-100.0
5136,514754,helm atlas sl bedrock gy l ckx,1,519.99,-100.0
5137,514755,helm atlas sl bedrock gy xl,1,519.99,-100.0
5138,514756,helm atlas sl bedrock gy 2xl,1,519.99,-100.0
5139,514757,helm atlas sl bedrock gy 3xl,1,519.99,-100.0
5140,514773,helm atlas sl bedrock sand m,1,519.99,-100.0
5141,514774,helm atlas sl bedrock sand l,1,519.99,-100.0
5142,514775,helm atlas sl bedrock sand xl,1,519.99,-100.0
5143,514776,helm atlas sl bedrock sand 2xl,1,519.99,-100.0
5144,514777,helm atlas sl bedrock sand 3xl,1,519.99,-100.0
5145,514792,helm atlas sl scorpio gy s ckx,1,519.99,-100.0
5146,514793,helm atlas sl scorpio gy m ckx,1,519.99,-100.0
5147,514794,helm atlas sl scorpio gy l ckx,1,519.99,-100.0
5148,514795,helm atlas sl scorpio gy xl,1,519.99,-100.0
5149,51479908579,countersunk screw,1,6.99,-100.0
5150,514822,helm atlas sl solid bk mat s,1,499.99,-100.0
5151,514823,helm atlas sl solid bk mat m,2,499.99,-100.0
5152,514824,helm atlas sl solid bk mat l,2,499.99,-100.0
5153,514825,helm atlas sl solid bk mat xl,2,499.99,-100.0
5154,514826,helm atlas sl solid bk mat 2xl,2,499.99,-100.0
5155,514827,helm atlas sl solid bk mat 3xl,1,499.99,-100.0
5156,51488353567,expanding rivet,8,3.99,-100.0
5157,51498237075,expanding rivet,21,1.99,-85.23
5158,515-1058,140/80-17tl 69t k60 scout m+s,1,329.99,-100.0
5159,515-1060,150/70b17tl 69t k60 sc m+s,2,355.99,-66.39
5160,515-1061,170/60b17tl 72s k60 sc m+s,1,382.99,-46.14
