,part_number,description,quantity,price,roi
2511,2862930,fisherman beanie black,2,46.99,-73.07
2512,2862938,imc growler black,4,67.99,-73.07
2513,2862943,imc wool throw multi,2,129.99,-100.0
2514,2862944,circle lther key ring brn,2,26.99,-73.06
2515,2862946,imc coasters set of 6 blk,4,32.99,-100.0
2516,2862947,imc magnets set of 2 mult,2,24.99,-73.06
2517,2862948,indian sign patch multi,4,15.99,-100.0
2518,2862949,usa flag logo patch multi,3,15.99,-82.03
2519,2862950,america's 1st patch multi,4,15.99,-100.0
2520,286295302,gloss stripe hlmt ece sil s,1,359.99,-100.0
2521,286295303,gloss stripe hlmt ece sil m,1,359.99,-100.0
2522,286295306,gloss stripe hlmt ece sil l,1,359.99,-100.0
2523,286295309,gloss stripe hlmt ece sil xl,1,359.99,-100.0
2524,2862958,imc logo patch multi,2,15.99,-100.0
2525,286296706,mw bk camo lne pkt tee l,1,54.99,-46.14
2526,286296709,mw bk camo lne pkt tee xl,2,54.99,-100.0
2527,286297109,mw gr sten b icn shirt xl,1,104.99,-100.0
2528,2862978,camo peak tck cap khaki,2,39.99,-46.13
2529,286369602,indian half hlmt 1-s,3,179.99,-100.0
2530,286369606,indian half hlmt 1-l,2,179.99,-73.07
2531,286369609,indian half hlmt 1-xl,3,179.99,-100.0
2532,286369612,indian half hlmt 1 2xl,2,179.99,-100.0
2533,286371603,wmns vest 2-m,1,194.99,-100.0
2534,286371606,wmns vest 2-l,1,194.99,-100.0
2535,286381603,men scout logo red ss tee m,1,32.89,-100.0
2536,2863861,ind logo patch,1,15.99,-100.0
2537,2863896,spray wax and protectant,12,24.99,-100.0
2538,2863957,hair elastic-script brown,1,14.99,-100.0
2539,286396406,wmns tall engineer-brn 6,1,324.99,-100.0
2540,2863979,hair elastic-script black,1,14.99,-100.0
2541,2863995,ballpoint pen,7,39.99,-100.0
2542,286436702,indian half hlmt 2-s,2,179.99,-100.0
2543,2864404,mens sunglasses-semi pro,1,84.99,7.71
2544,286441210,men spirit lake boot 10,1,409.99,-100.0
2545,286441211,men spirit lake boot 11,2,409.99,-100.0
2546,286441212,men spirit lake boot 12,2,409.99,-100.0
2547,286441306,wmn connelly boot 6,1,409.99,-100.0
2548,286441307,wmn connelly boot 7,1,409.99,-100.0
2549,286441309,wmn connelly boot 9,1,409.99,-100.0
2550,286441310,wmn connelly boot 10,1,409.99,-100.0
2551,286521906,wmn military jkt-l,1,359.99,-100.0
2552,2865234,ind head tie,2,24.99,-73.06
2553,286617303,men sslv scout legend tee-m,1,54.99,-100.0
2554,2867608,be legendary bandana,1,24.99,-100.0
2555,286769011,mens engineer-blk 11 ce,1,259.99,-100.0
2556,286769206,wmns short engineer-blk 6 ce,1,249.99,-100.0
2557,286870003,m ss full zip hdie navy m,1,74.99,-100.0
2558,286886909,retro open helmet mt black-xl,1,234.99,-100.0
2559,286887006,retro open helmet hi black-l,1,234.99,-100.0
2560,286887009,retro open helmet hi black-xl,1,234.99,-100.0
2561,286887202,retro open helmet red-s,1,234.99,-100.0
2562,286887209,retro open helmet red-xl,1,234.99,-100.0
2563,286887212,retro open helmet red-2xl,1,234.99,-100.0
2564,286893302,mens black plaid shirt - s,1,89.99,-100.0
2565,2868961,imc goggle,2,144.99,-73.07
2566,286896503,mens 1200 logo tee blk m,1,32.89,-100.0
2567,286963009,matte stripe full helmet-xl,1,399.99,-100.0
2568,286963402,half helmet 3-s,1,179.99,-100.0
2569,286963409,half helmet 3-xl,2,179.99,-73.07
2570,286963412,half helmet 3-2xl,1,179.99,-100.0
2571,286963509,mens beckman jkt ce-xl,2,554.99,-100.0
2572,2869643,headdress head tie,5,24.99,-89.22
2573,2869646,liberty sunglasses,2,59.99,-46.14
2574,2869650,headdress towel,4,59.99,-100.0
2575,2869652,2 in 1 headdress stopper,1,19.99,7.78
2576,286965902,mens port marl pocket tee-s,1,54.99,-100.0
2577,286970602,mens ls shield logo tee-s,1,59.99,-100.0
2578,286970612,mens ls shield logo tee-2xl,1,59.99,-100.0
2579,286972306,wmns blake jkt-l,1,619.99,-100.0
2580,286972309,wmns blake jkt-xl,1,619.99,-100.0
2581,286972603,mens atlanta jacket-m,1,399.99,-100.0
2582,286972612,mens atlanta jacket-2xl,1,399.99,-100.0
2583,286973112,mens ftr bike sketch tee-2xl,1,46.99,-100.0
2584,286973202,mens ftr front tee-s,2,46.99,-100.0
2585,286973203,mens ftr front tee-m,2,46.99,-100.0
2586,286973209,mens ftr front tee-xl,2,46.99,-100.0
