cost_per_unit,order_to_sales_ratio,supplier_name,price,description,quantity_ordered_ytd,quantity,gross_profit,roi,sell_through_rate,reorder_point,3m_days_supply,rolling_12m_sales,sales_volatility,part_status,safety_stock,part_number,total_cost,3m_turnover,days_of_inventory_outstanding,demand,sales_revenue,cogs,1m_days_supply,margin,margin_percentage,special_orders_ytd,negative_on_hand,rolling_3m_sales,12m_days_supply,obsolescence_risk,turnover,months_no_sale,sales_trend,recent_sales_trend,normalized_seasonal_score
68.3,0.0,ducati,85.99,"spark plug cable, vertical",0,0,0.0,0.0,0.0,0,0,1,4.358899,idle,0,67110701c,0.0,0.0,330,0.1479705552668223,0.0,0.0,0,17.69,20.57,0,0,0,0,0.024710779823362828,0.0,11,-0.003508772,0.0,-0.046325341344259106
2.98,0.0,ducati,4.99,spacer,0,1,0.0,0.0,50.0,0,0,1,4.358899,idle,0,71611461ab,2.98,0.0,270,0.14246485310262896,0.0,0.0,0,2.01,40.28,0,0,0,365,0.028845540434122085,0.0,9,0.0,0.0,-0.02760626593885949
0.4,0.0,ducati,0.99,plug,0,8,0.0,0.0,0.0,0,0,0,4.358899,obsolete,0,87240761a,3.2,0.0,420,0.0,0.0,0.0,0,0.59,59.6,0,0,0,0,1.0,0.0,14,-0.01754386,0.0,-0.11277549526799134
38.99,0.0,kimpex,59.99,"mount base s w/ball 1"" tough-c",0,0,0.0,0.0,0.0,0,0,2,2.9953668,idle,0,180186,0.0,0.0,270,0.1365810028809864,0.0,0.0,0,21.0,35.01,0,0,0,0,0.031001313030719756,0.0,9,-0.001754386,0.0,-0.12025694862737762
76.8,0.0,bmw group canada,120.99,jerk damper,0,1,88.38,57.54,66.67,0,45,2,4.358899,idle,0,33815a7cc55,76.8,1.2591195999672105,432,0.1416979113282329,241.98,153.6,0,44.19,36.52,0,0,2,182,0.0173001104965806,0.8440256065060308,2,0.024561403,-1.0,-0.0065367590209059944
49.68,0.0,bmw group canada,69.99,intake manifold,0,2,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,13711341210,99.36,0.0,570,0.0,0.0,0.0,0,20.31,29.02,0,0,0,0,1.0,0.0,19,0.0,0.0,-0.015193428136569102
154.67,0.0,motovan,237.99,120/70-17tl 58h k73,0,0,83.32,53.87,0.0,0,0,1,4.358899,active,0,515-1129,0.0,0.0,120,0.14383763691312412,237.99,154.67,0,83.32,35.01,1,0,0,0,0.017869218811392786,0.0,4,0.00877193,0.0,0.05349189659081855
5.6,0.0,bmw group canada,8.99,hex nut,0,2,6.78,60.54,50.0,0,90,2,4.358899,idle,0,7129909484,11.2,1.019108280254777,618,0.12931856474813946,17.98,11.2,0,3.39,37.71,0,0,2,365,0.017503256723284722,0.590094836670179,2,0.024561403,-1.0,-0.03895914869377119
13.42,0.0,triumph motorcycles,20.99,mount bracket,0,0,15.14,56.41,0.0,0,0,2,4.358899,idle,0,t2307830,0.0,2.237732253454026,60,0.1649843956335586,41.98,26.84,0,7.57,36.06,2,0,2,0,0.01738141179084778,0.0,2,0.024561403,-1.0,-0.023335561735477024
24.99,0.0,ducati,48.99,flasher light front lh - rear,0,0,0.0,0.0,0.0,0,0,1,4.358899,idle,0,53010224a,0.0,0.0,330,0.14572231118572448,0.0,0.0,0,24.0,48.99,0,0,0,0,0.024710779823362828,0.0,11,-0.003508772,0.0,-0.0615187694808282
2.98,0.0,triumph motorcycles,4.99,hose clip,0,6,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,t3700050,17.88,0.0,570,0.0,0.0,0.0,0,2.01,40.28,0,0,0,0,1.0,0.0,19,0.0,0.0,0.03316744660741697
