part_number,normalized_seasonal_score,sales_sep,sales_oct,supplier_name,price,sales_last_jan,sales_feb,description,quantity_ordered_ytd,sales_last_apr,margin,quantity,sales_last_nov,sales_jan,sales_last_oct,sales_last_jul,sales_last_sep,sales_last_dec,sales_mar,special_orders_ytd,sales_may,sales_jun,sales_jul,sales_aug,sales_dec,negative_on_hand,sales_last_mar,sales_last_aug,sales_last_may,months_no_sale,sales_last_jun,sales_last_feb,sales_apr,sales_nov,cost_per_unit,total_cost,margin_percentage,sales_revenue,cogs,gross_profit,roi,rolling_3m_sales,rolling_12m_sales,12m_days_supply,3m_days_supply,1m_days_supply,turnover,3m_turnover,sell_through_rate,days_of_inventory_outstanding,order_to_sales_ratio,sales_trend,sales_volatility,recent_sales_trend,demand
13717717291,-0.003525647268830581,0,0,bmw group canada,51.99,0,0,vent hose for crankcase,0,0,19.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,32.64,32.64,37.22,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
105990,-0.020754608805126668,0,0,parts canada/power twins,48.99,0,0,520-16t powerdrive frnt spkt,0,0,26.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,22.72,22.72,53.62,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
286295302,0.06578947368421051,0,0,polaris acceptance,359.99,0,0,gloss stripe hlmt ece sil s,0,0,126.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,233.99,0.0,35.0,359.99,233.99,126.0,53.85,0,1,0,0,0,1.299980555015417,0.0,0.0,280,0.0,0.00877193,4.358899,0.0,0.1492637937223545
t2044184,0.003210749156003835,0,0,triumph motorcycles,9.99,0,0,"washer, tabbed,",0,0,3.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,6.35,6.35,36.44,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0
34118534234,0.005991339490282622,0,0,bmw group canada,140.99,0,0,set of brake pads front,0,0,68.19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,72.8,145.6,48.37,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
a9500891,-0.033797242833070375,0,0,triumph motorcycles,804.99,2,0,panniers kit,0,1,281.75,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,1,1,1,2,0,0,0,523.24,1046.48,35.0,804.99,523.24,281.75,53.85,1,3,243,180,0,0.8259613097016648,0.605960037555268,190.91,441,0.0,-0.08070175,1.3274665,0.0,0.32913469452217947
t3200151,0.007596714068284545,0,0,triumph motorcycles,7.99,0,0,bolt m8 x 1.25 x 21,0,0,3.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,4.58,4.58,42.68,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
34117690170,-0.1378008082765004,0,0,bmw group canada,110.99,0,0,"brake pads kit, green",0,0,53.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,57.2,0.0,48.46,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,0.0,0.0,330,0.0,-0.007017544,4.358899,0.0,0.11864619731580417
77919851ba,-0.010377304402563342,0,0,ducati,6.99,0,0,"screw, special",0,0,3.31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3.68,25.76,47.35,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
t2050412,-0.026745948295409275,0,0,triumph motorcycles,59.99,0,0,"rubbing strip,",0,0,21.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,38.55,38.55,35.74,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1020,0.0,0.0,0.0,0.0,0.0
